# 学校名は大会当時の名称で記録する。改名前後の同一校は aliases.csv に「旧名,現名」を登録すると
# ランキング上は同一校として合算され、最新の校名で表示される(例: 光星学院→八戸学院光星)
年,大会,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
1995,春,観音寺中央(香川),銚子商(千葉),今治西(愛媛),関西(岡山),前橋工(群馬),神港学園(兵庫),星稜(石川),日南学園(宮崎),4,0
1995,夏,帝京(東東京),星稜(石川),智弁学園(奈良),敦賀気比(福井),金足農(秋田),PL学園(大阪),旭川実(北北海道),創価(西東京),3,1
1996,春,鹿児島実(鹿児島),智弁和歌山(和歌山),岡山城東(岡山),高陽東(広島),明徳義塾(高知),宇都宮工(栃木),国士舘(東京),大阪学院大高(大阪),6,3
1996,夏,松山商(愛媛),熊本工(熊本),福井商(福井),前橋工(群馬),鹿児島実(鹿児島),高陽東(広島),波佐見(長崎),海星(三重),6,3
1997,春,天理(奈良),中京大中京(愛知),報徳学園(兵庫),上宮(大阪),平安(京都),春日部共栄(埼玉),育英(兵庫),西京(山口),4,1
1997,夏,智弁和歌山(和歌山),平安(京都),浦添商(沖縄),前橋工(群馬),市立船橋(千葉),佐野日大(栃木),敦賀気比(福井),徳島商(徳島),6,3
1998,春,横浜(神奈川),関西大一(大阪),PL学園(大阪),日大藤沢(神奈川),明徳義塾(高知),郡山(奈良),高鍋(宮崎),浦和学院(埼玉),3,0
1998,夏,横浜(東神奈川),京都成章(京都),豊田大谷(東愛知),明徳義塾(高知),常総学院(茨城),浜田(島根),関西大一(北大阪),PL学園(南大阪),3,0
1999,春,沖縄尚学(沖縄),水戸商(茨城),PL学園(大阪),今治西(愛媛),市川(山梨),平安(京都),海星(長崎),日南学園(宮崎),7,2
1999,夏,桐生第一(群馬),岡山理大付(岡山),智弁和歌山(和歌山),樟南(鹿児島),柏陵(千葉),滝川二(兵庫),桐蔭学園(神奈川),青森山田(青森),14,1
2000,春,東海大相模(神奈川),智弁和歌山(和歌山),国学院栃木(栃木),鳥羽(京都),福島商(福島),柳川(福岡),作新学院(栃木),明徳義塾(高知),4,2
2000,夏,智弁和歌山(和歌山),東海大浦安(千葉),光星学院(青森),育英(兵庫),柳川(福岡),樟南(鹿児島),長崎日大(長崎),横浜(神奈川),11,6
2001,春,常総学院(茨城),仙台育英(宮城),関西創価(大阪),宜野座(沖縄),東福岡(福岡),尽誠学園(香川),浪速(大阪),市川(山梨),7,6
2001,夏,日大三(西東京),近江(滋賀),松山商(愛媛),横浜(神奈川),光星学院(青森),平安(京都),日南学園(宮崎),明豊(大分),5,2
2002,春,報徳学園(兵庫),鳴門工(徳島),関西(岡山),福井商(福井),広島商(広島),尽誠学園(香川),明徳義塾(高知),浦和学院(埼玉),8,2
2002,夏,明徳義塾(高知),智弁和歌山(和歌山),帝京(東東京),川之江(愛媛),鳴門工(徳島),尽誠学園(香川),遊学館(石川),広陵(広島),7,2
2003,春,広陵(広島),横浜(神奈川),徳島商(徳島),東洋大姫路(兵庫),智弁和歌山(和歌山),平安(京都),近江(滋賀),花咲徳栄(埼玉),15,3
2003,夏,常総学院(茨城),東北(宮城),桐生第一(群馬),江の川(島根),岩国(山口),鳥栖商(佐賀),聖望学園(埼玉),光星学院(青森),4,2
2004,春,済美(愛媛),愛工大名電(愛知),社(兵庫),明徳義塾(高知),秋田商(秋田),福岡工大城東(福岡),東北(宮城),東海大山形(山形),6,5
2004,夏,駒大苫小牧(南北海道),済美(愛媛),千葉経大付(千葉),東海大甲府(山梨),中京大中京(愛知),修徳(東東京),天理(奈良),横浜(神奈川),13,10
2005,春,愛工大名電(愛知),神村学園(鹿児島),神戸国際大付(兵庫),羽黒(山形),慶応(神奈川),天理(奈良),東邦(愛知),沖縄尚学(沖縄),9,2
2005,夏,駒大苫小牧(南北海道),京都外大西(京都),宇部商(山口),大阪桐蔭(大阪),樟南(鹿児島),日大三(西東京),鳴門工(徳島),東北(宮城),5,3
2006,春,横浜(神奈川),清峰(長崎),岐阜城北(岐阜),PL学園(大阪),神港学園(兵庫),早稲田実(東京),日本文理(新潟),秋田商(秋田),21,0
2006,夏,早稲田実(西東京),駒大苫小牧(南北海道),智弁和歌山(和歌山),鹿児島工(鹿児島),帝京(東東京),東洋大姫路(兵庫),福知山成美(京都),日大山形(山形),4,3
2007,春,常葉菊川(静岡),大垣日大(岐阜),熊本工(熊本),帝京(東京),大阪桐蔭(大阪),室戸(高知),広陵(広島),関西(岡山),6,5
2007,夏,佐賀北(佐賀),広陵(広島),常葉菊川(静岡),長崎日大(長崎),今治西(愛媛),大垣日大(岐阜),楊志館(大分),帝京(東東京),5,4
2008,春,沖縄尚学(沖縄),聖望学園(埼玉),千葉経大付(千葉),東洋大姫路(兵庫),平安(京都),長野日大(長野),智弁和歌山(和歌山),天理(奈良),9,0
2008,夏,大阪桐蔭(北大阪),常葉菊川(静岡),横浜(南神奈川),浦添商(沖縄),報徳学園(東兵庫),聖光学院(福島),慶応(北神奈川),智弁和歌山(和歌山),17,0
2009,春,清峰(長崎),花巻東(岩手),報徳学園(兵庫),利府(宮城),中京大中京(愛知),箕島(和歌山),南陽工(山口),早稲田実(東京),1,0
