# 南北海道: 1959年以降の選手権北/南北海道大会 + 1958年以前の全道大会(南北共通で両ランキングに算入)
# 出典: bibijr.vivian.jp(高校野球データベース)のトーナメント表より集計
年,ブロック,優勝,準優勝,ベスト4,ベスト4,ベスト8,ベスト8,ベスト8,ベスト8,決勝勝者得点,決勝敗者得点
2010,,北照,函館大有斗,札幌日大,札幌第一,函館工,北海道栄,立命館慶祥,札幌白石,4,3
2011,,北海,駒大苫小牧,苫小牧中央,札幌南,函館大有斗,知内,尚志学園,札幌第一,5,4
2012,,札幌第一,札幌日大,北海,札幌龍谷,北照,函館大有斗,北海道栄,小樽水産,6,5
2013,,北照,駒大苫小牧,函館大柏稜,函館大有斗,北海道栄,東海大四,札幌光星,函館中部,10,4
2014,,東海大四,小樽潮陵,札幌日大,浦河,札幌第一,駒大苫小牧,恵庭南,札幌創成,1,0
2015,,北海,北照,小樽潮陵,東海大四,駒大苫小牧,札幌大谷,苫小牧東,函館大有斗,3,0
2016,,北海,札幌日大,東海大札幌,札幌第一,北照,北海学園札幌,札幌丘珠,北海道栄,7,2
2017,,北海,東海大札幌,札幌大谷,函館工,函館大有斗,駒大苫小牧,北海道栄,札幌日大,6,5
2018,,北照,駒大苫小牧,札幌日大,北海道栄,札幌第一,北星学園大付,北海,札幌光星,15,2
2019,,北照,札幌国際情報,東海大札幌,駒大苫小牧,函館大柏稜,北海,札幌創成,札幌第一,4,3
2021,,北海,札幌日大,札幌国際情報,北海道栄,函館大有斗,札幌第一,東海大札幌,立命館慶祥,8,6
2022,,札幌大谷,知内,東海大札幌,苫小牧中央,鵡川,札幌日大,北海,北照,7,2
2023,,北海,北海道栄,札幌日大,駒大苫小牧,函館大有斗,札幌第一,札幌光星,立命館慶祥,11,2
2024,,札幌日大,立命館慶祥,札幌光星,北照,札幌国際情報,函館大有斗,札幌大谷,函館大柏稜,6,4
2025,,北海,札幌日大,札幌大谷,駒大苫小牧,知内,函館大有斗,苫小牧中央,北照,7,0
